Passo,Sucetivel,Infectado,Exposto,Removido
317,139,861,0,0
318,142,858,0,0
319,124,876,0,0
320,121,879,0,0
321,124,876,0,0
322,129,871,0,0
323,131,869,0,0
324,120,880,0,0
325,127,873,0,0
326,144,856,0,0
327,132,868,0,0
328,118,882,0,0
329,143,857,0,0
330,140,860,0,0
331,126,874,0,0
332,142,858,0,0
333,122,878,0,0
334,133,867,0,0
335,139,861,0,0
336,117,883,0,0
337,131,869,0,0
338,145,855,0,0
339,131,869,0,0
340,126,874,0,0
341,110,890,0,0
342,121,879,0,0
343,131,869,0,0
344,126,874,0,0
345,103,897,0,0
346,129,871,0,0
347,146,854,0,0
348,127,873,0,0
349,134,866,0,0
350,118,882,0,0
351,114,886,0,0
352,126,874,0,0
353,127,873,0,0
354,130,870,0,0
355,129,871,0,0
356,104,896,0,0
357,116,884,0,0
358,119,881,0,0
359,136,864,0,0
360,144,856,0,0
361,146,854,0,0
362,124,876,0,0
363,126,874,0,0
364,117,883,0,0
365,118,882,0,0
366,124,876,0,0
367,133,867,0,0
368,138,862,0,0
369,125,875,0,0
370,141,859,0,0
371,138,862,0,0
372,122,878,0,0
373,121,879,0,0
374,140,860,0,0
375,120,880,0,0
376,149,851,0,0
377,122,878,0,0
378,119,881,0,0
379,101,899,0,0
380,117,883,0,0
381,116,884,0,0
382,108,892,0,0
383,123,877,0,0
384,116,884,0,0
385,132,868,0,0
386,123,877,0,0
387,120,880,0,0
388,121,879,0,0
389,134,866,0,0
390,126,874,0,0
391,134,866,0,0
392,127,873,0,0
393,142,858,0,0
394,137,863,0,0
395,123,877,0,0
396,145,855,0,0
397,142,858,0,0
398,130,870,0,0
399,123,877,0,0
400,124,876,0,0
401,126,874,0,0
402,129,871,0,0
403,131,869,0,0
404,131,869,0,0
405,125,875,0,0
406,116,884,0,0
407,113,887,0,0
408,120,880,0,0
409,131,869,0,0
410,118,882,0,0
411,134,866,0,0
412,132,868,0,0
413,131,869,0,0
414,139,861,0,0
415,161,839,0,0
416,123,877,0,0
417,110,890,0,0
418,116,884,0,0
419,100,900,0,0
420,139,861,0,0
421,113,887,0,0
422,119,881,0,0
423,125,875,0,0
424,140,860,0,0
425,137,863,0,0
426,126,874,0,0
427,133,867,0,0
428,121,879,0,0
429,115,885,0,0
430,136,864,0,0
431,114,886,0,0
432,119,881,0,0
433,126,874,0,0
434,114,886,0,0
435,120,880,0,0
436,128,872,0,0
437,126,874,0,0
438,123,877,0,0
439,125,875,0,0
440,114,886,0,0
441,132,868,0,0
442,135,865,0,0
443,141,859,0,0
444,129,871,0,0
445,109,891,0,0
446,112,888,0,0
447,137,863,0,0
448,128,872,0,0
449,117,883,0,0
450,125,875,0,0
451,119,881,0,0
452,134,866,0,0
453,130,870,0,0
