Passo,Sucetivel,Infectado,Exposto,Removido
317,123,877,0,0
318,110,890,0,0
319,127,873,0,0
320,125,875,0,0
321,119,881,0,0
322,132,868,0,0
323,128,872,0,0
324,137,863,0,0
325,114,886,0,0
326,135,865,0,0
327,130,870,0,0
328,138,862,0,0
329,132,868,0,0
330,123,877,0,0
331,123,877,0,0
332,122,878,0,0
333,126,874,0,0
334,120,880,0,0
335,132,868,0,0
336,102,898,0,0
337,118,882,0,0
338,121,879,0,0
339,115,885,0,0
340,120,880,0,0
341,120,880,0,0
342,140,860,0,0
343,140,860,0,0
344,131,869,0,0
345,125,875,0,0
346,114,886,0,0
347,123,877,0,0
348,118,882,0,0
349,144,856,0,0
350,127,873,0,0
351,130,870,0,0
352,125,875,0,0
353,119,881,0,0
354,122,878,0,0
355,126,874,0,0
356,142,858,0,0
357,133,867,0,0
358,141,859,0,0
359,116,884,0,0
360,120,880,0,0
361,133,867,0,0
362,127,873,0,0
363,106,894,0,0
364,124,876,0,0
365,151,849,0,0
